2025/11/20 02:02:03 [warn] 191#191: 512 worker_connections are not enough, reusing connections
2025/11/20 02:02:03 [warn] 190#190: 512 worker_connections are not enough, reusing connections
2025/11/20 02:02:03 [alert] 191#191: 512 worker_connections are not enough
2025/11/20 02:06:59 [error] 228#228: *1231 open() "/var/www/html/.DS_Store" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /.DS_Store HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:59 [error] 228#228: *1229 open() "/var/www/html/.env" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:59 [error] 228#228: *1232 open() "/var/www/html/.env" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:59 [error] 228#228: *1233 open() "/var/www/html/.git/config" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /.git/config HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:06:59 [error] 228#228: *1235 open() "/var/www/html/.git/config" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /.git/config HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:06:59 [error] 228#228: *1237 open() "/var/www/html/s/937313e26383e2937313e24373/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /s/937313e26383e2937313e24373/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:07:00 [error] 227#227: *1239 open() "/var/www/html/config.json" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /config.json HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:07:00 [error] 227#227: *1240 open() "/var/www/html/s/937313e26383e2937313e24373/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /s/937313e26383e2937313e24373/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:07:00 [error] 227#227: *1241 open() "/var/www/html/telescope/requests" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /telescope/requests HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:07:00 [error] 227#227: *1243 open() "/var/www/html/config.json" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /config.json HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:07:01 [error] 227#227: *1245 open() "/var/www/html/info.php" failed (2: No such file or directory), client: 209.38.208.202, server: localhost-nginx-proxy-manager, request: "GET /info.php HTTP/1.1", host: "www.deanhauser.me"
2025/11/20 02:07:01 [error] 227#227: *1246 open() "/var/www/html/telescope/requests" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /telescope/requests HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:07:01 [error] 227#227: *1248 open() "/var/www/html/info.php" failed (2: No such file or directory), client: 46.101.111.185, server: localhost-nginx-proxy-manager, request: "GET /info.php HTTP/1.1", host: "deanhauser.me"
2025/11/20 02:08:22 [warn] 227#227: 512 worker_connections are not enough, reusing connections
2025/11/20 02:08:22 [alert] 227#227: 512 worker_connections are not enough
2025/11/20 02:08:22 [error] 228#228: *2272 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "www.deanhauser.me", referrer: "http://www.deanhauser.me/"
2025/11/20 02:09:50 [error] 236#236: *2297 open() "/var/www/html/login.rsp" failed (2: No such file or directory), client: 83.142.209.125, server: localhost-nginx-proxy-manager, request: "GET /login.rsp HTTP/1.1", host: "74.179.86.179:80"
2025/11/20 02:30:50 [error] 193#193: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 24.198.104.251, server: nginxproxymanager, request: "GET /api/tokens HTTP/1.1", upstream: "http://127.0.0.1:3000/tokens", host: "deanhauser.me:5001", referrer: "http://deanhauser.me:5001/nginx/proxy"
